"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC114165712",1930.59645410645,3.00039573138719,0.202797694456301,14.7950189445261,1.57739924026023e-49,3.28193685928543e-45
"LOC114177341",156.102600924002,3.94543527778859,0.305487099376756,12.915227143267,3.6935250377693e-38,3.8423740967914e-34
"LOC114167332",2144.05594446703,2.03435256546285,0.193218119708108,10.5287877168876,6.36488801492364e-26,4.41426200128337e-22
"LOC114189849",176.726019493472,3.8066734029224,0.364975795690401,10.4299338418362,1.81014284880815e-25,9.4154580280756e-22
"LOC114162839",584.48066182267,-2.78165230080211,0.271183422579109,-10.2574570169039,1.09553769838646e-24,4.55875147052572e-21
"LOC114162780",297.234850627846,3.60792711025537,0.367859715977659,9.80788858781831,1.04124391344636e-22,3.61068681052748e-19
"LOC114185735",1108.15041898855,-1.90343712435267,0.196183497514716,-9.70233046339635,2.94689394704233e-22,7.91609905886977e-19
"LOC114169802",2247.56881649982,1.77602918844633,0.183114097992742,9.69903031997419,3.04377547202529e-22,7.91609905886977e-19
"LOC114166962",1000.98995574877,2.00757253695324,0.218107084115368,9.2045269647974,3.43179409923735e-20,7.93354533652582e-17
"LOC114187267",225.054740818025,4.07035627164535,0.445921120861059,9.12797371827921,6.97933182020017e-20,1.45211977851085e-16
"LOC114164417",669.673923948822,2.25536419671353,0.251920489780293,8.95268264475231,3.46946195029742e-19,6.56232957617165e-16
"LOC114167494",1754.86292374354,-1.23401744931326,0.140124844829321,-8.80655711566608,1.29048358201348e-18,2.06536933902865e-15
"LOC114168492",161.611392117154,2.48370996046517,0.282019864007408,8.80686177623264,1.28698233930162e-18,2.06536933902865e-15
"LOC114178914",1597.16936092356,-1.31581989375332,0.150495963741642,-8.74322381171765,2.26551264895472e-18,3.36687544101085e-15
"LOC114186845",159.650608649226,3.4107297656665,0.391048472256965,8.72201276220623,2.73299513286751e-18,3.79084644896277e-15
"LOC114187356",146.877563076882,2.50937587391405,0.289105425455231,8.67979516455887,3.96482229775551e-18,5.15575579544382e-15
"LOC114179744",514.415892470518,-1.71958980115631,0.200726794408146,-8.56681743076013,1.0638435861243e-17,1.30201939134719e-14
"LOC114192420",99.9264448982246,4.38044149714622,0.515820288518724,8.49218534952452,2.02787255605458e-17,2.3439953556262e-14
"LOC114178655",495.556576224774,1.58441673544599,0.188051771006057,8.42542841776777,3.59432668549759e-17,3.93597689570857e-14
"LOC114181021",4103.03850692418,-1.97850116635119,0.235442960326831,-8.4033141768381,4.34051405574379e-17,4.51543677219027e-14
"LOC114168531",224.192448367107,2.76135235920137,0.333929175880484,8.26927551903905,1.34775481799884e-16,1.33530413063257e-13
"LOC114181350",1364.83254913358,-2.02664097303425,0.246346291814053,-8.22679715659773,1.92285675059845e-16,1.8184980705887e-13
"LOC114182569",156.98739307026,3.46525484871255,0.422489230484373,8.20199569285999,2.36428771043119e-16,2.13875522187962e-13
"LOC114187289",187.075986326358,3.13722961819097,0.383272135127962,8.18538404088142,2.71436641229006e-16,2.35312948225446e-13
"LOC114170678",115.523879867578,2.57018510393812,0.315762209740332,8.13962223678294,3.9651310003534e-16,3.29994062373411e-13
"LOC114180954",95.4074599538743,5.64016306259931,0.703085911970836,8.02201120313909,1.04027650712567e-15,8.32461269509873e-13
"LOC114176441",740.112076756442,-1.41527361580172,0.176859216234852,-8.00226104090822,1.22155074065556e-15,9.41317952225169e-13
"LOC114184189",2872.38699939594,-1.59717129742707,0.201299961520375,-7.93428516013606,2.11711155915126e-15,1.57316511070361e-12
"LOC114183894",86.3818659973813,3.39844501497232,0.433106964243359,7.84666443983284,4.27248426436874e-15,3.06528646911917e-12
"LOC114177862",485.104138994266,2.14490173898817,0.275039086007299,7.79853427425676,6.26303438007686e-15,4.34362311039597e-12
"LOC114173174",252.510856952128,1.79443377924725,0.230276504820341,7.79251787170927,6.56868763531185e-15,4.40864886904188e-12
"LOC114168271",728.082395389137,-1.53997443419789,0.199192827935613,-7.73107370459982,1.06643253777287e-14,6.93381105653200e-12
"LOC114193786",120.838081473813,-2.17224786601252,0.282091569119469,-7.70050616114849,1.35528304376664e-14,8.54485424503295e-12
"LOC114177237",385.545796179378,7.32529495651506,0.957646268084845,7.64927009130898,2.02123303110058e-14,1.2368757189729e-11
"LOC114183479",548.134433817354,-1.36574559293245,0.178691056335271,-7.64305511950164,2.12127125228979e-14,1.26100484786118e-11
"LOC114173832",1406.5663648289,-1.15636885195277,0.151781298065119,-7.61865174889103,2.56339011889828e-14,1.48149707816105e-11
"LOC114167557",108.762244698953,2.22266532441621,0.292075038662766,7.60991194109718,2.74282735239312e-14,1.54235853767273e-11
"LOC114188211",15653.6494744996,-1.35413560731265,0.178468682856061,-7.58752508082771,3.26073512943215e-14,1.7853382921833e-11
"LOC114173578",658.795425914244,1.19486846667001,0.158982692402359,7.51571412343421,5.6601114392294e-14,3.01959688729761e-11
"LOC114174119",388.537478553158,1.76320597625051,0.236710494951974,7.44878665649463,9.42025614759986e-14,4.78043535138933e-11
"LOC114177192",1266.09845358147,-1.07936053744389,0.144866730437975,-7.45071372965112,9.28366095338095e-14,4.78043535138933e-11
"LOC114162633",6500.11546334693,-1.71401204526105,0.230447391331973,-7.43775850685121,1.02408048913977e-13,5.07309968024811e-11
"LOC114188115",326.696589066154,-1.83946774025135,0.247641147998071,-7.42795676373494,1.10287993215683e-13,5.33639996940816e-11
"LOC114163033",577.575459192007,2.47062763530259,0.333563842158824,7.40676093461658,1.29421459708717e-13,6.1198702061354e-11
"LOC114179098",397.180182016441,1.42092432658878,0.192302396484244,7.38900997890166,1.47926068032826e-13,6.54840376912972e-11
"LOC114178394",55.5654498090662,3.63543896829087,0.491922344340901,7.39027004996446,1.46530904471393e-13,6.54840376912972e-11
"LOC114185147",265.936126262702,-1.57477662479342,0.212980893861371,-7.39398072870536,1.42497073804387e-13,6.54840376912972e-11
"LOC114183250",283.390056647941,-1.9559571694576,0.267269092593957,-7.31830661927359,2.51119563614211e-13,1.0884986751161e-10
"LOC114183382",55.978075155731,3.8117354899009,0.522157088538395,7.29997844244647,2.87813837856067e-13,1.22209279804762e-10
"LOC114188722",277.456326161638,1.79548232017512,0.246071466869185,7.296588844775,2.9515497640084e-13,1.22819888779917e-10
"LOC114185346",171.287015466844,3.29035015021199,0.452066449895523,7.27846570116501,3.37638047242338e-13,1.37743082567139e-10
"LOC114175056",444.789694632552,1.53680688690389,0.212001125331212,7.24905061000463,4.1970305339811e-13,1.67929648634636e-10
"LOC114170581",444.693117508038,-1.61736106959335,0.223818849850172,-7.22620579399831,4.96674924990343e-13,1.94977707346209e-10
"LOC114163951",809.417288466201,1.58567894801861,0.219906194379532,7.2107061490133,5.56624577667959e-13,2.14465388202955e-10
"LOC114187385",5826.60546921342,-1.57408929454836,0.219314939817444,-7.17730080704315,7.11011385708495e-13,2.68969143473654e-10
"LOC114173214",333.459262255538,1.48916929728332,0.207618269789819,7.17263128524709,7.35698055430204e-13,2.73338102522872e-10
"LOC114183411",212.59006190871,2.44198115236546,0.341307485274426,7.15478346571274,8.38051011452413e-13,3.05903321829454e-10
"LOC114181214",77.3752093388332,4.04779653657695,0.567802024345649,7.12888711737466,1.01183670903995e-12,3.62970251177332e-10
"LOC114192788",90.746556239121,-2.46407986582878,0.346228916473738,-7.11690950289441,1.10373903370443e-12,3.89227022631431e-10
"LOC114187354",166.119882469122,2.70842059426531,0.381556566044686,7.09834618321864,1.26258602819895e-12,4.31371281822148e-10
"LOC114188943",200.277337303982,1.62980080302462,0.229610422201137,7.0981133495627,1.26471441849231e-12,4.31371281822148e-10
"LOC114162993",107.287299073394,2.72004887357276,0.38442838013304,7.07556729456713,1.48838610890949e-12,4.99473570676947e-10
"LOC114176826",144.005847438655,1.91826574491025,0.272386592887981,7.04243819261375,1.88904639233498e-12,6.23865067284468e-10
"LOC114193553",509.075380801076,-1.47734939104366,0.210808188092291,-7.00802660661777,2.4170285202035e-12,7.85760865489906e-10
"LOC114187852",346.723397788099,1.53538539806879,0.219682690010076,6.98910504964395,2.76645229025277e-12,8.85520097707677e-10
"LOC114193841",157.342960881738,2.87240082627069,0.411302366030795,6.98367202209486,2.87562954100078e-12,9.04477586560141e-10
"LOC114163754",1199.60455582499,1.1872767860244,0.170051232548924,6.98187698041426,2.91262127749349e-12,9.04477586560141e-10
"LOC114175886",592.035762204142,1.68195213510111,0.242029274265297,6.94937478206649,3.66908622930138e-12,1.12263247186536e-09
"LOC114195879",590.633936056902,-2.18111665390255,0.31554854228041,-6.91214301970792,4.77386186302711e-12,1.4394923177122e-09
"LOC114194439",77.219176922659,2.36101679874758,0.341730311676652,6.90900607313288,4.88061067806291e-12,1.45065693953967e-09
"LOC114191916",129.638043484139,3.56429894070721,0.516180481508628,6.90514087299451,5.01536325318334e-12,1.4697133499399e-09
"LOC114163938",191.217655793625,1.71101271595844,0.249140822336105,6.86765300007796,6.52667386683977e-12,1.88602745102039e-09
"LOC114178536",1708.72813529674,-1.35497252263113,0.197957416378882,-6.84476766476771,7.66000876028428e-12,2.18320742830787e-09
"LOC114170380",40.7098132132709,5.71273023445915,0.836236994174553,6.83147274547232,8.40472609799486e-12,2.36309096209299e-09
"LOC114186156",834.95474343585,2.39297833715725,0.35112472480728,6.8151803848922,9.41455600940547e-12,2.61172336442254e-09
"LOC114176389",402.242662194473,1.2268394276319,0.180154804974384,6.80991788038261,9.76544726997509e-12,2.67341968288292e-09
"LOC114176214",49.5017336206694,4.10435615710912,0.60611546525319,6.77157471208002,1.2738814668551e-11,3.4421269869334e-09
"LOC114179374",73.9045915047402,3.09003003946933,0.45778446764165,6.74996697766554,1.4787880865993e-11,3.90839370617304e-09
"LOC114187237",251.675707195558,-1.48375479843334,0.219833258155025,-6.74945552318114,1.48400991438849e-11,3.90839370617304e-09
"LOC114185855",84.205883924226,2.45896829426741,0.364629446472855,6.74374578919388,1.54354509259571e-11,4.01437489956829e-09
"LOC114187936",252.470464576665,1.84797778765899,0.274478861370998,6.73267798630649,1.66568434720016e-11,4.27854673183292e-09
"LOC114178976",99.2043233008132,3.08574889758063,0.462366771112792,6.67381198297201,2.49242899635574e-11,6.32408264611921e-09
"LOC114191091",424.075552568349,1.4098131376853,0.211590512252187,6.66293172921191,2.68418370971303e-11,6.72856942943245e-09
"LOC114180751",2084.81771005238,-0.913251358136798,0.137357053548789,-6.64874015961922,2.95612332525294e-11,7.32203594109675e-09
