"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logP"
"LOC114162839",584.48066182267,-2.78165230080211,0.271183422579109,-10.2574570169039,1.09553769838646e-24,4.55875147052572e-21,23.9603726734027
"LOC114185735",1108.15041898855,-1.90343712435267,0.196183497514716,-9.70233046339635,2.94689394704233e-22,7.91609905886977e-19,21.530635493279
"LOC114167494",1754.86292374354,-1.23401744931326,0.140124844829321,-8.80655711566608,1.29048358201348e-18,2.06536933902865e-15,17.8892475163323
"LOC114178914",1597.16936092356,-1.31581989375332,0.150495963741642,-8.74322381171765,2.26551264895472e-18,3.36687544101085e-15,17.6448335086974
"LOC114179744",514.415892470518,-1.71958980115631,0.200726794408146,-8.56681743076013,1.0638435861243e-17,1.30201939134719e-14,16.9731222204212
"LOC114181021",4103.03850692418,-1.97850116635119,0.235442960326831,-8.4033141768381,4.34051405574379e-17,4.51543677219027e-14,16.3624588330791
"LOC114181350",1364.83254913358,-2.02664097303425,0.246346291814053,-8.22679715659773,1.92285675059845e-16,1.8184980705887e-13,15.7160530687214
"LOC114176441",740.112076756442,-1.41527361580172,0.176859216234852,-8.00226104090822,1.22155074065556e-15,9.41317952225169e-13,14.913088488634
"LOC114184189",2872.38699939594,-1.59717129742707,0.201299961520375,-7.93428516013606,2.11711155915126e-15,1.57316511070361e-12,14.6742562566489
"LOC114168271",728.082395389137,-1.53997443419789,0.199192827935613,-7.73107370459982,1.06643253777287e-14,6.93381105653200e-12,13.9720666126943
"LOC114193786",120.838081473813,-2.17224786601252,0.282091569119469,-7.70050616114849,1.35528304376664e-14,8.54485424503295e-12,13.8679699951888
"LOC114183479",548.134433817354,-1.36574559293245,0.178691056335271,-7.64305511950164,2.12127125228979e-14,1.26100484786118e-11,13.6734037936049
"LOC114173832",1406.5663648289,-1.15636885195277,0.151781298065119,-7.61865174889103,2.56339011889828e-14,1.48149707816105e-11,13.5911852940921
"LOC114188211",15653.6494744996,-1.35413560731265,0.178468682856061,-7.58752508082771,3.26073512943215e-14,1.7853382921833e-11,13.4866844776424
"LOC114177192",1266.09845358147,-1.07936053744389,0.144866730437975,-7.45071372965112,9.28366095338095e-14,4.78043535138933e-11,13.0322807287035
"LOC114162633",6500.11546334693,-1.71401204526105,0.230447391331973,-7.43775850685121,1.02408048913977e-13,5.07309968024811e-11,12.9896659079935
"LOC114188115",326.696589066154,-1.83946774025135,0.247641147998071,-7.42795676373494,1.10287993215683e-13,5.33639996940816e-11,12.9574717655653
"LOC114185147",265.936126262702,-1.57477662479342,0.212980893861371,-7.39398072870536,1.42497073804387e-13,6.54840376912972e-11,12.8461940538566
"LOC114183250",283.390056647941,-1.9559571694576,0.267269092593957,-7.31830661927359,2.51119563614211e-13,1.0884986751161e-10,12.6001194520074
"LOC114170581",444.693117508038,-1.61736106959335,0.223818849850172,-7.22620579399831,4.96674924990343e-13,1.94977707346209e-10,12.3039277651371
"LOC114187385",5826.60546921342,-1.57408929454836,0.219314939817444,-7.17730080704315,7.11011385708495e-13,2.68969143473654e-10,12.148123444684
"LOC114192788",90.746556239121,-2.46407986582878,0.346228916473738,-7.11690950289441,1.10373903370443e-12,3.89227022631431e-10,11.9571335983637
"LOC114193553",509.075380801076,-1.47734939104366,0.210808188092291,-7.00802660661777,2.4170285202035e-12,7.85760865489906e-10,11.6167182250189
"LOC114195879",590.633936056902,-2.18111665390255,0.31554854228041,-6.91214301970792,4.77386186302711e-12,1.4394923177122e-09,11.3211301519386
"LOC114178536",1708.72813529674,-1.35497252263113,0.197957416378882,-6.84476766476771,7.66000876028428e-12,2.18320742830787e-09,11.115770733691
"LOC114187237",251.675707195558,-1.48375479843334,0.219833258155025,-6.74945552318114,1.48400991438849e-11,3.90839370617304e-09,10.8285631976083
