"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logP"
"LOC114194591",416.694119623352,-2.43705428047865,0.230150149810773,-10.5889754253141,3.35241000340792e-26,1.93724599396933e-22,25.4746428721036
"LOC114192672",370.474785605267,-2.91725759023278,0.332544956471225,-8.77252092826496,1.74710032659201e-18,3.78596640772489e-15,17.7576821551005
"LOC114178914",1294.432817354,-1.27909279451563,0.14890740364106,-8.58985358175254,8.70802239663387e-18,1.6773586252005e-14,17.060080462644
"LOC114176670",122.293819064206,-2.68276407848865,0.323333458570736,-8.29720527639652,1.06589111639021e-16,1.84782883937407e-13,15.972287157379
"LOC114189212",8474.20983500687,-1.15173817980713,0.156166070580723,-7.375085865478,1.64239164090227e-13,1.67485302862834e-10,12.7845232740121
"LOC114179882",1279.07790369643,-1.12671883819157,0.155327854718387,-7.25381059459257,4.05206658353592e-13,3.69719085748309e-10,12.3923234269286
"LOC114166678",164.098228418844,-2.4074447765633,0.346408040100709,-6.94973700917391,3.65967802079691e-12,2.64350742368897e-09,11.4365571222401
"LOC114183846",206.996219189384,-1.47409462934327,0.21491859773008,-6.85885095525615,6.94166153168342e-12,4.14967739011254e-09,11.1585365659031
"LOC114189882",240.208884548608,-1.90161884082982,0.280898592437133,-6.76976991707575,1.28987358483886e-11,7.21330595702143e-09,10.8894528510164
"LOC114166381",193.576459699958,-1.93261816587593,0.29180100237292,-6.62306897563723,3.51816749827138e-11,1.7425986214295e-08,10.4536834878338
"LOC114165949",287.067620108681,-2.33789406651889,0.358717099436764,-6.51737558702864,7.15481195464754e-11,3.26410052752026e-08,10.1454017760387
"LOC114167452",136.469948393979,-2.25590757060057,0.347089008917427,-6.49950736739478,8.05834553554894e-11,3.58203790267375e-08,10.0937541143409
"LOC114193834",2334.0730914973,-1.18317202252971,0.192648604574836,-6.14160702145182,8.16907572070915e-10,2.72344416719642e-07,9.08782707836396
"LOC114189988",308.845602505302,-1.39590789982423,0.228854937500176,-6.09953149830188,1.06379796787166e-09,3.47962293792889e-07,8.97314084362906
"LOC114181670",187.785022256571,-1.54034976533407,0.254976178107342,-6.04115167451292,1.53018049093019e-09,4.82312890741195e-07,8.81525733938381
"LOC114185560",1034.59106698067,-1.24100652136411,0.210108048332141,-5.90651586750407,3.49418655522014e-09,1.00958696868827e-06,8.45665391167713
"LOC114194647",1651.54103970775,-1.17831421379405,0.199966648711844,-5.89255369025073,3.80272479584419e-09,1.08072191902877e-06,8.41990510345273
