"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logP"
"LOC114181350",490.799149682403,-2.10564217209396,0.254021918298988,-8.28921451421992,1.13998784724278e-16,1.96864501340356e-12,15.9430997784035
"LOC114187837",1682.53672645841,-1.30709288802199,0.193354874683617,-6.76007207038747,1.37923115151233e-11,1.19089713777332e-07,10.8603629423712
"LOC114187574",981.00970817771,-1.11616189658945,0.195766012231286,-5.70151010314687,1.1875069597592e-08,6.83568589602719e-05,7.9253638363758
"LOC114179691",1227.59668816977,-1.2615496760138,0.230186668745029,-5.48055055877792,4.24004326597165e-08,0.000183053267900161,7.37262971178536
"LOC114186576",375.844992227202,-1.11708122432966,0.208710107260169,-5.35231014441076,8.68383945575674e-08,0.000299922447122926,7.06128821425072
"LOC114165775",444.562781865419,-1.47488201528416,0.299074631745802,-4.93148484936606,8.16068983541214e-07,0.00234878254612887,6.08827312812726
"LOC114179756",4578.63489238973,-1.30128503228924,0.267383273895439,-4.86674059050571,1.13453788231204e-06,0.00279890495566379,5.94518099840892
"LOC114172427",10.2680615049109,-6.918762613648,1.43683236994,-4.81528865746317,1.46987257214718e-06,0.00304590689461242,5.83272031396754
"LOC114187704",75.6591509451097,-2.01132195677761,0.461495435492789,-4.35827053116983,1.31094275601678e-05,0.0133168649727375,4.88241627191694
"LOC114193380",68.6901516621079,-1.66139094227855,0.383006845137438,-4.33775783219325,1.43943627883199e-05,0.0138097917217498,4.84180755576969
"LOC114183479",174.084646765293,-1.07103258021395,0.255590803131661,-4.19041908821043,2.78439693621359e-05,0.0200348961214469,4.55526885278306
"LOC114185769",112.360075911369,-1.29528443083793,0.318441991667538,-4.06756792361179,4.75063634715566e-05,0.0215891418629029,4.32324821278606
"LOC114194664",164.757351245485,-1.42707065269747,0.346209913261502,-4.1219809082115,3.75628338130274e-05,0.0215891418629029,4.42524165115204
"LOC114193155",2846.71383550292,-1.43494429391422,0.354290649941861,-4.05018956653159,5.11761588070335e-05,0.0224441402573984,4.29093231460972
"LOC114187413",155.737248908017,-1.19289317741237,0.295543962715414,-4.03626305356483,5.43093213229097e-05,0.0228138596063647,4.2651256243397
"LOC114181667",359.454717830275,-1.17713171137532,0.292573319968788,-4.02337339406373,5.7370430610854e-05,0.0230402317725311,4.24131189037874
"LOC114181588",112.857868056542,-1.76804050431763,0.444096652539109,-3.9812065553949,6.85663322744113e-05,0.0254129527173532,4.16388908103756
"LOC114170536",36.1231017779862,-1.73203379912313,0.435278389835585,-3.97914033769826,6.91649069266085e-05,0.0254129527173532,4.16011420314315
"LOC114165968",148.255642994648,-1.08299581116182,0.274144971452012,-3.95044930215468,7.80046203911008e-05,0.0274910569292637,4.1078796722976
"LOC114180781",48.2042563838714,-2.01548686710257,0.524701515420873,-3.84120649143906,0.000122431067485036,0.0422852420879816,3.91210836384661
"LOC114194287",227.748110630189,-1.41841219407675,0.374169375599749,-3.7908291981491,0.000150145183382502,0.0462325111658851,3.82348859529286
"LOC114185591",140.678686810207,-1.10651875511609,0.291134466084519,-3.80071370455623,0.000144279924771674,0.0462325111658851,3.84079409279709
"LOC114195578",2034.67530537995,-1.12618477318993,0.295962649831999,-3.80515843411053,0.000141713451577275,0.0462325111658851,3.84858892414553
