,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logP
LOC114165712,1930.596454,3.000395731,0.202797694,14.79501894,1.58E-49,3.28E-45,48.80205837
LOC114177341,156.1026009,3.945435278,0.305487099,12.91522714,3.69E-38,3.84E-34,37.43255895
LOC114167332,2144.055944,2.034352565,0.19321812,10.52878772,6.36E-26,4.41E-22,25.19620923
LOC114189849,176.7260195,3.806673403,0.364975796,10.42993384,1.81E-25,9.42E-22,24.74228715
LOC114162839,584.4806618,-2.781652301,0.271183423,-10.25745702,1.10E-24,4.56E-21,23.96037267
LOC114162780,297.2348506,3.60792711,0.367859716,9.807888588,1.04E-22,3.61E-19,21.98244752
LOC114185735,1108.150419,-1.903437124,0.196183498,-9.702330463,2.95E-22,7.92E-19,21.53063549
LOC114169802,2247.568816,1.776029188,0.183114098,9.69903032,3.04E-22,7.92E-19,21.51658739
LOC114166962,1000.989956,2.007572537,0.218107084,9.204526965,3.43E-20,7.93E-17,19.46447878
LOC114187267,225.0547408,4.070356272,0.445921121,9.127973718,6.98E-20,1.45E-16,19.15618615
LOC114164417,669.6739239,2.255364197,0.25192049,8.952682645,3.47E-19,6.56E-16,18.45973787
LOC114167494,1754.862924,-1.234017449,0.140124845,-8.806557116,1.29E-18,2.07E-15,17.88924752
LOC114168492,161.6113921,2.48370996,0.282019864,8.806861776,1.29E-18,2.07E-15,17.89042741
LOC114178914,1597.169361,-1.315819894,0.150495964,-8.743223812,2.27E-18,3.37E-15,17.64483351
LOC114186845,159.6506086,3.410729766,0.391048472,8.722012762,2.73E-18,3.79E-15,17.56336114
LOC114187356,146.8775631,2.509375874,0.289105425,8.679795165,3.96E-18,5.16E-15,17.40177627
LOC114179744,514.4158925,-1.719589801,0.200726794,-8.566817431,1.06E-17,1.30E-14,16.97312222
LOC114192420,99.9264449,4.380441497,0.515820289,8.49218535,2.03E-17,2.34E-14,16.69295934
LOC114178655,495.5565762,1.584416735,0.188051771,8.425428418,3.59E-17,3.94E-14,16.44438245
