"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logP"
"LOC114165728",224.223538081514,3.4263983392361,0.302066602889436,11.3431882454422,8.01694812015014e-30,1.38981812610923e-25,29.0959909268311
"LOC114162304",3090.78191785164,1.82189074442524,0.17049380930457,10.6859642109973,1.18412127520252e-26,1.02639632134554e-22,25.9266038158107
"LOC114194591",416.694119623352,-2.43705428047865,0.230150149810773,-10.5889754253141,3.35241000340792e-26,1.93724599396933e-22,25.4746428721036
"LOC114187208",337.676452113322,2.74292363429339,0.268857940615001,10.202129898113,1.93971292514797e-24,8.40671581759132e-21,23.7122625403015
"LOC114188686",828.768128041267,1.70795691954482,0.170443803169575,10.0206454431527,1.23692498921107e-23,4.28866632259264e-20,22.9076566364739
"LOC114193656",87.1492297421939,3.61588240743589,0.383372702307325,9.43176805670757,4.03233710457538e-21,1.16507660074865e-17,20.3944431678976
"LOC114162467",165.139373780709,3.84957381218394,0.430166508351674,8.94903191542007,3.58613473333463e-19,8.88131881958415e-16,18.4453733977508
"LOC114192672",370.474785605267,-2.91725759023278,0.332544956471225,-8.77252092826496,1.74710032659201e-18,3.78596640772489e-15,17.7576821551005
"LOC114178914",1294.432817354,-1.27909279451563,0.14890740364106,-8.58985358175254,8.70802239663387e-18,1.6773586252005e-14,17.060080462644
"LOC114176670",122.293819064206,-2.68276407848865,0.323333458570736,-8.29720527639652,1.06589111639021e-16,1.84782883937407e-13,15.972287157379
"LOC114170638",2216.92571841633,2.17716667198555,0.268785862028832,8.1000044256495,5.49571885440589e-16,8.66125291454368e-13,15.2599754926703
"LOC114196085",488.92862777383,1.96013841409233,0.245485452843161,7.98474366358748,1.40814611999465e-15,2.03430176135227e-12,14.8513522771437
"LOC114164425",95.4143284874789,2.37159610700356,0.305204022929796,7.77052702070405,7.81602369853062e-15,1.04229682182867e-11,14.1070141324871
"LOC114176069",689.928791130944,1.15442335367288,0.155172405797582,7.43961755145301,1.00977210621866e-13,1.25038637381476e-10,12.9957766303554
"LOC114178428",972.662702083887,1.15661279768892,0.1565016878174,7.39041740583918,1.4636859737767e-13,1.67485302862834e-10,12.8345520889093
"LOC114182192",1837.44204815859,1.2128456220612,0.164382612108354,7.37818681979423,1.60459711405208e-13,1.67485302862834e-10,12.7946339932331
"LOC114189212",8474.20983500687,-1.15173817980713,0.156166070580723,-7.375085865478,1.64239164090227e-13,1.67485302862834e-10,12.7845232740121
"LOC114169933",3488.75791085301,1.05378793093362,0.14506013695731,7.26449011449471,3.74448005163369e-13,3.60635034306231e-10,12.4266084787344
"LOC114179882",1279.07790369643,-1.12671883819157,0.155327854718387,-7.25381059459257,4.05206658353592e-13,3.69719085748309e-10,12.3923234269286
"LOC114194535",422.714402267273,1.52924529884034,0.213235340897435,7.17163155227585,7.41091748146428e-13,6.42378327293323e-10,12.1301280224564
"LOC114194346",383.062549376838,1.61223815097268,0.226438013713673,7.11999776243988,1.07928815581949e-12,8.90978069966032e-10,11.96686258889
"LOC114174217",115.110180498299,2.33231602382818,0.330956346455665,7.04720138714918,1.82552025949623e-12,1.37596605298376e-09,11.7386133429177
"LOC114167252",904.120126862547,1.4631523210615,0.207602590841695,7.0478519325282,1.81700831520659e-12,1.37596605298376e-09,11.7406430852181
"LOC114166678",164.098228418844,-2.4074447765633,0.346408040100709,-6.94973700917391,3.65967802079691e-12,2.64350742368897e-09,11.4365571222401
"LOC114162839",512.264139601324,1.46974868857133,0.212023823330986,6.93199785515109,4.14938252485127e-12,2.87734781803286e-09,11.3820165264209
"LOC114173799",252.220005256765,1.68906541009018,0.244417163440855,6.91058429085694,4.82661542839216e-12,3.09904463209653e-09,11.3163573032076
"LOC114181885",2058.43715272976,1.16153336282961,0.168000855033904,6.91385387648888,4.71661024041858e-12,3.09904463209653e-09,11.3263700104257
"LOC114192248",2321.27118099637,1.26547462427145,0.18406955291858,6.87498070270867,6.1998251029119e-12,3.83857742800288e-09,11.2076205617778
"LOC114183846",206.996219189384,-1.47409462934327,0.21491859773008,-6.85885095525615,6.94166153168342e-12,4.14967739011254e-09,11.1585365659031
"LOC114189675",1095.69048410109,1.40767401371847,0.206593758512791,6.81372962983928,9.5100362547661e-12,5.49553295042084e-09,11.0218178274143
"LOC114189882",240.208884548608,-1.90161884082982,0.280898592437133,-6.76976991707575,1.28987358483886e-11,7.21330595702143e-09,10.8894528510164
"LOC114180105",53.6931390743519,3.10168089261294,0.460788055754211,6.73125280458097,1.6820841401644e-11,9.11269082934063e-09,10.7741522839869
"LOC114188666",1543.22713946582,1.1800273634037,0.176637144447505,6.68051653062359,2.38101520783807e-11,1.25082665585093e-08,10.6232378306938
"LOC114179281",446.69846305526,1.51197813657002,0.226675546541943,6.67023046656802,2.55402029491623e-11,1.3022498774314e-08,10.5927756560408
"LOC114166381",193.576459699958,-1.93261816587593,0.29180100237292,-6.62306897563723,3.51816749827138e-11,1.7425986214295e-08,10.4536834878338
"LOC114162549",1289.67404344895,3.49530685711854,0.53461467963922,6.53799267067884,6.23499792771619e-11,2.9213492993213e-08,10.2051636865289
"LOC114165949",287.067620108681,-2.33789406651889,0.358717099436764,-6.51737558702864,7.15481195464754e-11,3.26410052752026e-08,10.1454017760387
"LOC114167452",136.469948393979,-2.25590757060057,0.347089008917427,-6.49950736739478,8.05834553554894e-11,3.58203790267375e-08,10.0937541143409
"LOC114184829",3660.44706130008,1.33716242434504,0.205868326390808,6.49523143160279,8.29058627167133e-11,3.59314009014236e-08,10.0814147570795
"LOC114183395",163.09240702659,2.56248946255593,0.397434118894826,6.44758298477652,1.13647948305546e-10,4.80536788249986e-08,9.94443840021726
"LOC114192670",3668.9372155941,1.35764103495612,0.211220566242989,6.42759869033913,1.29635432142019e-10,5.35085678955723e-08,9.88727628025064
"LOC114194664",211.028140700732,1.94218670545084,0.303748251606856,6.39406711043272,1.61530477659606e-10,6.5123078155975e-08,9.79174552267904
"LOC114185047",4497.61350827965,1.27703233153126,0.200437497911394,6.3712246702251,1.87524697148316e-10,7.38847306764365e-08,9.72694152724879
"LOC114164447",510.090320547199,1.14408025428903,0.180906515841126,6.32415172537937,2.54627443958095e-10,9.80938081879451e-08,9.59409478953848
"LOC114192378",466.754454533271,1.79507472110862,0.28451474667617,6.30925019556805,2.80390531282084e-10,1.05670657615352e-07,9.55223665647348
"LOC114179374",43.4838296714034,4.18107585813636,0.665043085212654,6.28692478893968,3.23816153735198e-10,1.19439932790498e-07,9.48970149003888
"LOC114183837",41.4437897984103,3.58639020850903,0.571696009005302,6.27324688648608,3.53595545827936e-10,1.2645346397062e-07,9.45149321434486
"LOC114165720",1847.80605360595,1.04936195063661,0.167320382370438,6.27157275025453,3.57419227881886e-10,1.2645346397062e-07,9.44682208770507
"LOC114165775",559.936901489718,1.41923683099302,0.227651780111631,6.23424438103267,4.53963932366977e-10,1.57398374630278e-07,9.34297865065883
"LOC114196280",49.0546252824778,2.51084673249945,0.404943585367376,6.20048526073463,5.62893317917522e-10,1.91339579596435e-07,9.2495739068004
"LOC114193834",2334.0730914973,-1.18317202252971,0.192648604574836,-6.14160702145182,8.16907572070915e-10,2.72344416719642e-07,9.08782707836396
"LOC114189988",308.845602505302,-1.39590789982423,0.228854937500176,-6.09953149830188,1.06379796787166e-09,3.47962293792889e-07,8.97314084362906
"LOC114181670",187.785022256571,-1.54034976533407,0.254976178107342,-6.04115167451292,1.53018049093019e-09,4.82312890741195e-07,8.81525733938381
"LOC114169026",36.0182398968186,3.05892553117762,0.509679329208258,6.00166684399267,1.9530211511772e-09,5.93992538189612e-07,8.70929305328675
"LOC114190354",100.714597976638,3.09553528571712,0.523093088675287,5.91775221797795,3.26371147967723e-09,9.58978003587873e-07,8.48628824094835
"LOC114185560",1034.59106698067,-1.24100652136411,0.210108048332141,-5.90651586750407,3.49418655522014e-09,1.00958696868827e-06,8.45665391167713
"LOC114194647",1651.54103970775,-1.17831421379405,0.199966648711844,-5.89255369025073,3.80272479584419e-09,1.08072191902877e-06,8.41990510345273
"LOC114195316",441.05263558439,1.08063728252471,0.183893567534226,5.87642785451745,4.19213981891303e-09,1.17217638549478e-06,8.37756424091704
"LOC114190638",158.67078264522,-1.9215601280242,0.327282724880017,-5.87125436800446,4.32510057007039e-09,1.17426608877273e-06,8.3640037895821
"LOC114195578",3702.19809892166,-1.61739265245875,0.277785243784841,-5.82245705503171,5.79887033236973e-09,1.52316994063578e-06,8.23665660233403
"LOC114190429",106.52686629429,2.00181240679679,0.344177722620221,5.81621724833616,6.0194225675623e-09,1.55090906925268e-06,8.22044516783673
"LOC114167154",322.569007217462,-1.25605888730894,0.216114518727946,-5.81200603597635,6.17286143161253e-09,1.55090906925268e-06,8.20951347196558
"LOC114185130",386.044343297782,1.10126131876545,0.190109962644021,5.79275963999607,6.92391663016283e-09,1.71475741000718e-06,8.1596481700396
"LOC114169469",483.52617295913,-1.17535242392678,0.20383582506043,-5.76617198462699,8.1092307986009e-09,1.95252257117424e-06,8.09102033885496
"LOC114185478",88.389994569806,2.75083202892636,0.47759223515379,5.75979219603635,8.42175527350362e-09,1.99999382769122e-06,8.07459738282921
"LOC114192391",123.187220224471,-1.41873099510505,0.246590638956308,-5.75338545335627,8.7473726433304e-09,2.04924935330778e-06,8.05812237187466
"LOC114172999",958.622773094732,-1.99249816551273,0.353070472987725,-5.64334408553614,1.66778560855165e-08,3.83015957937827e-06,7.77785977804315
"LOC114182427",344.876552849086,1.16148929764105,0.20585830607632,5.64217844681203,1.67911933567575e-08,3.83015957937827e-06,7.77491843728437
"LOC114173488",15666.9936744755,1.12205054452491,0.200522103035643,5.59564520588268,2.19802791962578e-08,4.88525795059391e-06,7.65796679541462
"LOC114176171",255.978800087453,-1.31650987171209,0.235186536408945,-5.59772634868402,2.17181201731028e-08,4.88525795059391e-06,7.66317776811539
"LOC114164015",157.387184583387,-1.50087125420702,0.268883872449886,-5.581856734404,2.37964363930271e-08,5.22196229505718e-06,7.62348807532676
"LOC114181376",362.439599960258,1.41545861970585,0.253831907112923,5.57636207285853,2.45600473998317e-08,5.32216227154352e-06,7.60977079936045
"LOC114176240",82.0383482054751,1.68605133160325,0.306116795042129,5.50786941099134,3.63202669776863e-08,7.67863595518499e-06,7.4398509677911
"LOC114165865",74.0682127846924,2.51208364656007,0.457219163787165,5.49426586968136,3.92339047046981e-08,8.19468640916442e-06,7.40633846711096
"LOC114170032",120.06759230579,1.92112834030581,0.351810148700366,5.4606961948162,4.74271042222269e-08,9.67289739760618e-06,7.32397339144976
"LOC114167251",1144.63907639634,1.39966337860442,0.257468847343922,5.43624361954276,5.44155426113539e-08,1.08430786978211e-05,7.26427703584872
"LOC114165193",291.664458315399,1.07432000718796,0.197731851516976,5.43321674755936,5.53471104656579e-08,1.09033807617346e-05,7.25690504762315
"LOC114189177",298.147875373525,-1.68774394857222,0.311003698503645,-5.42676487994382,5.73846401457146e-08,1.11628547639961e-05,7.24120433743888
"LOC114191855",1163.2604938937,-1.36170331144763,0.251004865174422,-5.42500764079369,5.79520609575248e-08,1.11628547639961e-05,7.23693111454828
"LOC114175560",683.770922895561,1.0790475731529,0.19913146092039,5.41876993301569,6.00104815887984e-08,1.14323264705869e-05,7.22177288797281
"LOC114178132",262.894514763583,-1.60020157958725,0.297081121966606,-5.38641287266691,7.18777472794867e-08,1.35442676830128e-05,7.14340554257335
"LOC114188908",80.6563591050265,2.63465352259831,0.491184090550648,5.36388204195437,8.14521065558795e-08,1.4863723360555e-05,7.08909767926506
"LOC114182173",197.995960924807,-1.19499516856702,0.222950753912118,-5.35990638111077,8.32650898135753e-08,1.50362874688348e-05,7.0795370451621
"LOC114190962",27.1182627965604,4.02489422031749,0.755753222155502,5.32567259037016,1.00580160975971e-07,1.78723401858957e-05,6.99748767363734
"LOC114162321",187.429902154007,-1.60726357381519,0.302861191734367,-5.30693141835381,1.114860995772e-07,1.94368445309649e-05,6.95277927838488
