"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logP"
"LOC114178231",417.631596027798,6.6435957162962,0.753817477094992,8.81326835495883,1.21549120080065e-18,2.50488426660999e-14,17.9152481807594
"LOC114189844",1467.63255244127,4.28049478564677,0.496858160140704,8.61512425283422,6.98657848666965e-18,7.1989704726644e-14,17.1557354577526
"LOC114175025",388.721414830342,4.64980442311532,0.561382398338019,8.28277558555653,1.20337062603752e-16,8.26635395379371e-13,15.9196005937298
"LOC114193590",130.435808326631,4.50868298821135,0.561312957222706,8.03238715621255,9.55941488978243e-16,4.92501055121591e-12,15.0195686890958
"LOC114163822",167.216800390061,6.35310865710081,0.799094004337686,7.95038959448389,1.85925873774742e-15,7.66312081349975e-12,14.7306601688312
"LOC114170232",224.457274121898,5.60927958111848,0.715584401382072,7.83873931612369,4.55092213291241e-15,1.33979147592941e-11,14.3419005952859
"LOC114177148",1472.25917461903,-1.90901499440262,0.243255936594942,-7.84776322882275,4.23522821748983e-15,1.33979147592941e-11,14.3731231825172
"LOC114164478",418.555784155987,6.57440455268875,0.85028096025052,7.73203783223809,1.05838478143026e-14,2.72639919696436e-11,13.9753564135186
"LOC114191052",446.496645011768,-1.78668107792022,0.233645425829292,-7.64697648832047,2.05759929619853e-14,4.71144514400659e-11,13.6866391973062
"LOC114166149",301.201958055758,-3.27821163508317,0.430246858090197,-7.61937379307003,2.54909305157206e-14,5.2531709606797e-11,13.5936143108443
"LOC114189945",46.4100536443244,4.70483325748364,0.622153200234129,7.56217802257244,3.96375372390873e-14,7.42591243111919e-11,13.4018933369491
"LOC114162439",198.585864059399,6.24721707799818,0.831278538137102,7.51519110790255,5.68278597345209e-14,9.00852718006929e-11,13.2454387001578
"LOC114184456",124.429987072721,4.20485868085646,0.559462804415951,7.51588603865473,5.65267776119673e-14,9.00852718006929e-11,13.2477457713987
"LOC114173199",183.154697863581,-2.73772282013223,0.365336461760106,-7.49370267326321,6.6957310408336e-14,9.85611609210705e-11,13.1742019997322
"LOC114178713",1119.98104366295,5.37124336374816,0.72023952561315,7.45757928124751,8.81265372854082e-14,1.21074112025179e-10,13.0548932940715
"LOC114190113",228.623792221623,5.79828802959136,0.789209580243907,7.34695596041724,2.02771639722707e-13,2.61169871962847e-10,12.6929927868792
"LOC114179685",396.329944622836,4.66339068721541,0.637329154289485,7.31708357577695,2.53418035925767e-13,3.07202287315188e-10,12.596162479333
"LOC114195405",15956.7571735488,-1.54961309343045,0.212170489563165,-7.30362217960152,2.80122269890804e-13,3.20708874328316e-10,12.5526523631285
"LOC114194335",567.858165753962,-1.97656007837586,0.27139061479897,-7.28308191438375,3.26278971591733e-13,3.53892476134865e-10,12.4864109152282
"LOC114188793",329.311181793519,5.8874235071476,0.813647912616677,7.23583679851615,4.62667427608758e-13,4.76732517408065e-10,12.3347310743227
