"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logP"
"LOC114165712",1930.59645410645,3.00039573138719,0.202797694456301,14.7950189445261,1.57739924026023e-49,3.28193685928543e-45,48.8020583726839
"LOC114177341",156.102600924002,3.94543527778859,0.305487099376756,12.915227143267,3.6935250377693e-38,3.8423740967914e-34,37.4325589526256
"LOC114167332",2144.05594446703,2.03435256546285,0.193218119708108,10.5287877168876,6.36488801492364e-26,4.41426200128337e-22,25.1962092330046
"LOC114189849",176.726019493472,3.8066734029224,0.364975795690401,10.4299338418362,1.81014284880815e-25,9.4154580280756e-22,24.742287151097
"LOC114162780",297.234850627846,3.60792711025537,0.367859715977659,9.80788858781831,1.04124391344636e-22,3.61068681052748e-19,21.9824475242304
"LOC114169802",2247.56881649982,1.77602918844633,0.183114097992742,9.69903031997419,3.04377547202529e-22,7.91609905886977e-19,21.5165873870056
"LOC114166962",1000.98995574877,2.00757253695324,0.218107084115368,9.2045269647974,3.43179409923735e-20,7.93354533652582e-17,19.4644787768395
"LOC114187267",225.054740818025,4.07035627164535,0.445921120861059,9.12797371827921,6.97933182020017e-20,1.45211977851085e-16,19.156186153407
"LOC114164417",669.673923948822,2.25536419671353,0.251920489780293,8.95268264475231,3.46946195029742e-19,6.56232957617165e-16,18.4597378710694
"LOC114168492",161.611392117154,2.48370996046517,0.282019864007408,8.80686177623264,1.28698233930162e-18,2.06536933902865e-15,17.8904274126888
"LOC114186845",159.650608649226,3.4107297656665,0.391048472256965,8.72201276220623,2.73299513286751e-18,3.79084644896277e-15,17.5633611417324
"LOC114187356",146.877563076882,2.50937587391405,0.289105425455231,8.67979516455887,3.96482229775551e-18,5.15575579544382e-15,17.4017762728694
"LOC114192420",99.9264448982246,4.38044149714622,0.515820288518724,8.49218534952452,2.02787255605458e-17,2.3439953556262e-14,16.6929593422092
"LOC114178655",495.556576224774,1.58441673544599,0.188051771006057,8.42542841776777,3.59432668549759e-17,3.93597689570857e-14,16.4443824527526
"LOC114168531",224.192448367107,2.76135235920137,0.333929175880484,8.26927551903905,1.34775481799884e-16,1.33530413063257e-13,15.8703891069662
"LOC114182569",156.98739307026,3.46525484871255,0.422489230484373,8.20199569285999,2.36428771043119e-16,2.13875522187962e-13,15.6262996752317
"LOC114187289",187.075986326358,3.13722961819097,0.383272135127962,8.18538404088142,2.71436641229006e-16,2.35312948225446e-13,15.566331527312
"LOC114170678",115.523879867578,2.57018510393812,0.315762209740332,8.13962223678294,3.9651310003534e-16,3.29994062373411e-13,15.4017424598493
"LOC114180954",95.4074599538743,5.64016306259931,0.703085911970836,8.02201120313909,1.04027650712567e-15,8.32461269509873e-13,14.9828512092031
"LOC114183894",86.3818659973813,3.39844501497232,0.433106964243359,7.84666443983284,4.27248426436874e-15,3.06528646911917e-12,14.3693195281181
"LOC114177862",485.104138994266,2.14490173898817,0.275039086007299,7.79853427425676,6.26303438007686e-15,4.34362311039597e-12,14.2032152042916
"LOC114173174",252.510856952128,1.79443377924725,0.230276504820341,7.79251787170927,6.56868763531185e-15,4.40864886904188e-12,14.1825213899036
"LOC114177237",385.545796179378,7.32529495651506,0.957646268084845,7.64927009130898,2.02123303110058e-14,1.2368757189729e-11,13.6943836131117
"LOC114167557",108.762244698953,2.22266532441621,0.292075038662766,7.60991194109718,2.74282735239312e-14,1.54235853767273e-11,13.561801528255
"LOC114173578",658.795425914244,1.19486846667001,0.158982692402359,7.51571412343421,5.6601114392294e-14,3.01959688729761e-11,13.247175018111
"LOC114174119",388.537478553158,1.76320597625051,0.236710494951974,7.44878665649463,9.42025614759986e-14,4.78043535138933e-11,13.0259372880801
"LOC114163033",577.575459192007,2.47062763530259,0.333563842158824,7.40676093461658,1.29421459708717e-13,6.1198702061354e-11,12.8879937061993
"LOC114179098",397.180182016441,1.42092432658878,0.192302396484244,7.38900997890166,1.47926068032826e-13,6.54840376912972e-11,12.8299552864141
"LOC114178394",55.5654498090662,3.63543896829087,0.491922344340901,7.39027004996446,1.46530904471393e-13,6.54840376912972e-11,12.8340707696721
"LOC114183382",55.978075155731,3.8117354899009,0.522157088538395,7.29997844244647,2.87813837856067e-13,1.22209279804762e-10,12.5408883293707
"LOC114188722",277.456326161638,1.79548232017512,0.246071466869185,7.296588844775,2.9515497640084e-13,1.22819888779917e-10,12.5299498900467
"LOC114185346",171.287015466844,3.29035015021199,0.452066449895523,7.27846570116501,3.37638047242338e-13,1.37743082567139e-10,12.4715486201733
"LOC114175056",444.789694632552,1.53680688690389,0.212001125331212,7.24905061000463,4.1970305339811e-13,1.67929648634636e-10,12.3770578712242
"LOC114163951",809.417288466201,1.58567894801861,0.219906194379532,7.2107061490133,5.56624577667959e-13,2.14465388202955e-10,12.2544376213762
"LOC114173214",333.459262255538,1.48916929728332,0.207618269789819,7.17263128524709,7.35698055430204e-13,2.73338102522872e-10,12.133300391867
"LOC114183411",212.59006190871,2.44198115236546,0.341307485274426,7.15478346571274,8.38051011452413e-13,3.05903321829454e-10,12.0767295454293
