"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logP"
"LOC114165728",224.223538081514,3.4263983392361,0.302066602889436,11.3431882454422,8.01694812015014e-30,1.38981812610923e-25,29.0959909268311
"LOC114162304",3090.78191785164,1.82189074442524,0.17049380930457,10.6859642109973,1.18412127520252e-26,1.02639632134554e-22,25.9266038158107
"LOC114187208",337.676452113322,2.74292363429339,0.268857940615001,10.202129898113,1.93971292514797e-24,8.40671581759132e-21,23.7122625403015
"LOC114188686",828.768128041267,1.70795691954482,0.170443803169575,10.0206454431527,1.23692498921107e-23,4.28866632259264e-20,22.9076566364739
"LOC114193656",87.1492297421939,3.61588240743589,0.383372702307325,9.43176805670757,4.03233710457538e-21,1.16507660074865e-17,20.3944431678976
"LOC114162467",165.139373780709,3.84957381218394,0.430166508351674,8.94903191542007,3.58613473333463e-19,8.88131881958415e-16,18.4453733977508
"LOC114170638",2216.92571841633,2.17716667198555,0.268785862028832,8.1000044256495,5.49571885440589e-16,8.66125291454368e-13,15.2599754926703
"LOC114196085",488.92862777383,1.96013841409233,0.245485452843161,7.98474366358748,1.40814611999465e-15,2.03430176135227e-12,14.8513522771437
"LOC114164425",95.4143284874789,2.37159610700356,0.305204022929796,7.77052702070405,7.81602369853062e-15,1.04229682182867e-11,14.1070141324871
"LOC114176069",689.928791130944,1.15442335367288,0.155172405797582,7.43961755145301,1.00977210621866e-13,1.25038637381476e-10,12.9957766303554
"LOC114178428",972.662702083887,1.15661279768892,0.1565016878174,7.39041740583918,1.4636859737767e-13,1.67485302862834e-10,12.8345520889093
"LOC114182192",1837.44204815859,1.2128456220612,0.164382612108354,7.37818681979423,1.60459711405208e-13,1.67485302862834e-10,12.7946339932331
"LOC114169933",3488.75791085301,1.05378793093362,0.14506013695731,7.26449011449471,3.74448005163369e-13,3.60635034306231e-10,12.4266084787344
"LOC114194535",422.714402267273,1.52924529884034,0.213235340897435,7.17163155227585,7.41091748146428e-13,6.42378327293323e-10,12.1301280224564
"LOC114194346",383.062549376838,1.61223815097268,0.226438013713673,7.11999776243988,1.07928815581949e-12,8.90978069966032e-10,11.96686258889
"LOC114174217",115.110180498299,2.33231602382818,0.330956346455665,7.04720138714918,1.82552025949623e-12,1.37596605298376e-09,11.7386133429177
"LOC114167252",904.120126862547,1.4631523210615,0.207602590841695,7.0478519325282,1.81700831520659e-12,1.37596605298376e-09,11.7406430852181
"LOC114162839",512.264139601324,1.46974868857133,0.212023823330986,6.93199785515109,4.14938252485127e-12,2.87734781803286e-09,11.3820165264209
"LOC114173799",252.220005256765,1.68906541009018,0.244417163440855,6.91058429085694,4.82661542839216e-12,3.09904463209653e-09,11.3163573032076
"LOC114181885",2058.43715272976,1.16153336282961,0.168000855033904,6.91385387648888,4.71661024041858e-12,3.09904463209653e-09,11.3263700104257
"LOC114192248",2321.27118099637,1.26547462427145,0.18406955291858,6.87498070270867,6.1998251029119e-12,3.83857742800288e-09,11.2076205617778
"LOC114189675",1095.69048410109,1.40767401371847,0.206593758512791,6.81372962983928,9.5100362547661e-12,5.49553295042084e-09,11.0218178274143
"LOC114180105",53.6931390743519,3.10168089261294,0.460788055754211,6.73125280458097,1.6820841401644e-11,9.11269082934063e-09,10.7741522839869
"LOC114188666",1543.22713946582,1.1800273634037,0.176637144447505,6.68051653062359,2.38101520783807e-11,1.25082665585093e-08,10.6232378306938
"LOC114179281",446.69846305526,1.51197813657002,0.226675546541943,6.67023046656802,2.55402029491623e-11,1.3022498774314e-08,10.5927756560408
"LOC114162549",1289.67404344895,3.49530685711854,0.53461467963922,6.53799267067884,6.23499792771619e-11,2.9213492993213e-08,10.2051636865289
"LOC114184829",3660.44706130008,1.33716242434504,0.205868326390808,6.49523143160279,8.29058627167133e-11,3.59314009014236e-08,10.0814147570795
"LOC114183395",163.09240702659,2.56248946255593,0.397434118894826,6.44758298477652,1.13647948305546e-10,4.80536788249986e-08,9.94443840021726
"LOC114192670",3668.9372155941,1.35764103495612,0.211220566242989,6.42759869033913,1.29635432142019e-10,5.35085678955723e-08,9.88727628025064
"LOC114194664",211.028140700732,1.94218670545084,0.303748251606856,6.39406711043272,1.61530477659606e-10,6.5123078155975e-08,9.79174552267904
"LOC114185047",4497.61350827965,1.27703233153126,0.200437497911394,6.3712246702251,1.87524697148316e-10,7.38847306764365e-08,9.72694152724879
"LOC114164447",510.090320547199,1.14408025428903,0.180906515841126,6.32415172537937,2.54627443958095e-10,9.80938081879451e-08,9.59409478953848
"LOC114192378",466.754454533271,1.79507472110862,0.28451474667617,6.30925019556805,2.80390531282084e-10,1.05670657615352e-07,9.55223665647348
"LOC114179374",43.4838296714034,4.18107585813636,0.665043085212654,6.28692478893968,3.23816153735198e-10,1.19439932790498e-07,9.48970149003888
"LOC114183837",41.4437897984103,3.58639020850903,0.571696009005302,6.27324688648608,3.53595545827936e-10,1.2645346397062e-07,9.45149321434486
"LOC114165720",1847.80605360595,1.04936195063661,0.167320382370438,6.27157275025453,3.57419227881886e-10,1.2645346397062e-07,9.44682208770507
"LOC114165775",559.936901489718,1.41923683099302,0.227651780111631,6.23424438103267,4.53963932366977e-10,1.57398374630278e-07,9.34297865065883
"LOC114196280",49.0546252824778,2.51084673249945,0.404943585367376,6.20048526073463,5.62893317917522e-10,1.91339579596435e-07,9.2495739068004
"LOC114169026",36.0182398968186,3.05892553117762,0.509679329208258,6.00166684399267,1.9530211511772e-09,5.93992538189612e-07,8.70929305328675
"LOC114190354",100.714597976638,3.09553528571712,0.523093088675287,5.91775221797795,3.26371147967723e-09,9.58978003587873e-07,8.48628824094835
"LOC114195316",441.05263558439,1.08063728252471,0.183893567534226,5.87642785451745,4.19213981891303e-09,1.17217638549478e-06,8.37756424091704
"LOC114190429",106.52686629429,2.00181240679679,0.344177722620221,5.81621724833616,6.0194225675623e-09,1.55090906925268e-06,8.22044516783673
"LOC114185130",386.044343297782,1.10126131876545,0.190109962644021,5.79275963999607,6.92391663016283e-09,1.71475741000718e-06,8.1596481700396
"LOC114185478",88.389994569806,2.75083202892636,0.47759223515379,5.75979219603635,8.42175527350362e-09,1.99999382769122e-06,8.07459738282921
"LOC114182427",344.876552849086,1.16148929764105,0.20585830607632,5.64217844681203,1.67911933567575e-08,3.83015957937827e-06,7.77491843728437
"LOC114173488",15666.9936744755,1.12205054452491,0.200522103035643,5.59564520588268,2.19802791962578e-08,4.88525795059391e-06,7.65796679541462
"LOC114181376",362.439599960258,1.41545861970585,0.253831907112923,5.57636207285853,2.45600473998317e-08,5.32216227154352e-06,7.60977079936045
"LOC114176240",82.0383482054751,1.68605133160325,0.306116795042129,5.50786941099134,3.63202669776863e-08,7.67863595518499e-06,7.4398509677911
"LOC114165865",74.0682127846924,2.51208364656007,0.457219163787165,5.49426586968136,3.92339047046981e-08,8.19468640916442e-06,7.40633846711096
"LOC114170032",120.06759230579,1.92112834030581,0.351810148700366,5.4606961948162,4.74271042222269e-08,9.67289739760618e-06,7.32397339144976
"LOC114167251",1144.63907639634,1.39966337860442,0.257468847343922,5.43624361954276,5.44155426113539e-08,1.08430786978211e-05,7.26427703584872
"LOC114165193",291.664458315399,1.07432000718796,0.197731851516976,5.43321674755936,5.53471104656579e-08,1.09033807617346e-05,7.25690504762315
"LOC114175560",683.770922895561,1.0790475731529,0.19913146092039,5.41876993301569,6.00104815887984e-08,1.14323264705869e-05,7.22177288797281
"LOC114188908",80.6563591050265,2.63465352259831,0.491184090550648,5.36388204195437,8.14521065558795e-08,1.4863723360555e-05,7.08909767926506
"LOC114190962",27.1182627965604,4.02489422031749,0.755753222155502,5.32567259037016,1.00580160975971e-07,1.78723401858957e-05,6.99748767363734
"LOC114194411",493.755156679348,1.00814654588642,0.190004813369915,5.30590003487799,1.1211839254133e-07,1.94368445309649e-05,6.95032313741403
"LOC114193553",454.111232064461,1.75447925495214,0.333149603858001,5.26634051079332,1.39170043002797e-07,2.3198575629774e-05,6.85645423856689
"LOC114162343",24.9644575480764,4.54960228189287,0.863839978680173,5.26671883008243,1.38883671336626e-07,2.3198575629774e-05,6.85734881160765
"LOC114187063",150.102934901154,1.8876913733231,0.359009450571941,5.25805482367052,1.45587121761087e-07,2.40371270747639e-05,6.83687703982695
"LOC114184820",826.485420802906,1.1970383591146,0.228901760286905,5.22948516260527,1.6998274252037e-07,2.75403815358236e-05,6.76959516808418
"LOC114177092",338.247637212025,1.10638969132449,0.213822844140596,5.17432875692646,2.28731777532755e-07,3.57233702279985e-05,6.64067349499792
"LOC114177393",399.127132284235,1.11901680909834,0.216439967087982,5.17010247300335,2.33965664920659e-07,3.5894059885527e-05,6.63084787177615
"LOC114177334",115.958341759662,1.78979627482001,0.346650745283,5.16311099622432,2.42879020370618e-07,3.69346552381143e-05,6.61460999746649
"LOC114176734",75.9462087555606,1.77104747760431,0.343578720396504,5.15470654166373,2.5402843076341e-07,3.8294233701865e-05,6.59511767458996
"LOC114186018",147.5600139621,1.81818482610382,0.354513040260533,5.12868250140426,2.91776953382631e-07,4.36055626193214e-05,6.53494901475248
"LOC114168585",347.6242408886,1.03509180221517,0.202419801575268,5.11358964962864,3.16093632771245e-07,4.67398583781842e-05,6.50018425227862
"LOC114183578",479.637846238723,1.17855343829206,0.233358868818533,5.05039060336095,4.40907558220367e-07,6.21428734090104e-05,6.3556524562536
"LOC114168853",383.251990457854,1.36924035034839,0.272321951715265,5.02802047989157,4.95568959656632e-07,6.8729467876859e-05,6.30489590381336
"LOC114173418",2776.10571738501,1.01499944559354,0.203207675334697,4.99488734331401,5.88701224267797e-07,8.05761961890673e-05,6.2301050610246
"LOC114178886",272.687107134339,1.97209307273431,0.396642602857614,4.97196483314288,6.62777296774615e-07,8.97649001319119e-05,6.17863237661718
"LOC114183701",77.5899036077932,1.51915031912857,0.310158734720365,4.8979769036594,9.68284127645643e-07,0.000123427747329889,6.0139971871516
"LOC114180827",16.7595699669352,7.44307538001527,1.52775310220163,4.87190984543845,1.1052460412321e-06,0.000136861038362855,5.95654103197434
"LOC114186743",203.226748056654,1.00988691033472,0.213113069614795,4.73873757325211,2.15053795562547e-06,0.000257115351715332,5.6674528880212
"LOC114189032",120.262569573633,1.61914474754811,0.345599790582126,4.68502815010631,2.79921457637837e-06,0.000323514559307303,5.55296380901321
"LOC114192994",36.1463210152992,2.24665154963743,0.48224118873113,4.65877159010164,3.1810192028572e-06,0.000362803611189029,5.49743370917942
"LOC114165693",79.8885338560236,2.22906998199548,0.48176452544971,4.62688692139531,3.71203049586897e-06,0.000409883825964232,5.43038846452936
"LOC114195594",349.12952596265,1.7349294971399,0.38095756731804,4.5541279291389,5.26033384033875e-06,0.000536430279153604,5.27898669302949
"LOC114167435",161.048122880462,1.36662975561758,0.300067025453783,4.55441497962284,5.25315650740356e-06,0.000536430279153604,5.27957966005941
"LOC114196072",335.488742017635,1.25372669750961,0.275633105603917,4.54853452658625,5.40207813885287e-06,0.000545541561567947,5.26743913821092
"LOC114188115",109.731396965044,1.50066785046354,0.332431599103491,4.51421541908343,6.35515948803765e-06,0.00063317841887713,5.1968735459903
"LOC114168395",49.807162717121,2.08527391865548,0.464317851206377,4.49104834810375,7.08734590637824e-06,0.000686403511916051,5.14951637046054
"LOC114175025",81.3905824993071,1.63583380149618,0.364586726137674,4.48681667274541,7.22952307309684e-06,0.000696283399973371,5.14089035188309
"LOC114168411",342.341335351851,1.0066716768474,0.225739536869419,4.45943892154662,8.217448597396e-06,0.000782734554310204,5.08526300388
"LOC114193872",586.436065302221,1.01923197579085,0.230896668752938,4.41423421695805,1.01368166927054e-05,0.000924904495709164,4.99409840692029
"LOC114179094",1363.45236541733,1.10328305126874,0.25159464382781,4.38516112458985,1.15899957671551e-05,0.00101532184121568,4.93591672264741
"LOC114193446",88.7620065361379,1.48585266810355,0.338697673204262,4.38695859362299,1.14946661348563e-05,0.00101532184121568,4.93950363839168
