"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logP"
"LOC114183837",20.6172638783149,4.81609428493975,1.03630604129962,4.64736679417594,3.36199053456813e-06,0.0058058214541457,5.47340351361833
"LOC114183818",45.171023244692,3.09346246572979,0.671180031149303,4.60899061676889,4.0462859170266e-06,0.00582294262509437,5.39294343253908
"LOC114183715",81.0703307453552,2.52946748510012,0.547186134103,4.62268198598757,3.78810228871299e-06,0.00582294262509437,5.42157830241854
"LOC114175593",9.39510214872698,6.59135683994149,1.48416948176414,4.4411079199033,8.94968939756098e-06,0.0110394418718915,5.04819203678085
"LOC114187267",30.5341950093071,3.08087810808143,0.704359033364174,4.37401660537592,1.21981094254069e-05,0.0133168649727375,4.91370747504151
"LOC114162792",32.8617550421173,2.60575391682118,0.610934461786925,4.26519386252921,1.99728702702605e-05,0.0172455748348565,4.69955951885678
"LOC114178497",113.508311806829,1.78780420678955,0.42576281577045,4.19906140359951,2.68023638968721e-05,0.0200348961214469,4.57182690066923
"LOC114185055",16.3510441204805,3.9177507880813,0.930306440509121,4.21124762496244,2.53964172769074e-05,0.0200348961214469,4.59522754584522
"LOC114164592",105.049818799681,1.88067250879915,0.451080298569817,4.16926324373279,3.05585871912255e-05,0.0202967785463566,4.51486672827823
"LOC114164475",35.5744447227945,3.27214198995697,0.800746719358995,4.0863632792356,4.38187503686699e-05,0.0215891418629029,4.35834001189009
"LOC114164970",36.1962572564165,2.19797400071814,0.539681358140538,4.0727254472736,4.64661866577327e-05,0.0215891418629029,4.33286296732011
"LOC114167599",35.029640268378,2.62926338892764,0.638055285245294,4.12074541145262,3.77648557312449e-05,0.0215891418629029,4.42291217004914
"LOC114171444",16.3055321245853,3.55844592453025,0.872637275203543,4.07780646741253,4.54625837225301e-05,0.0215891418629029,4.34234588615281
"LOC114182796",19.9922587420917,3.12894043757669,0.755706461631595,4.14041773683026,3.46673918383698e-05,0.0215891418629029,4.46007883076391
"LOC114183063",47.9629500051354,2.92234315125926,0.713585127142373,4.09529716932594,4.21627219579732e-05,0.0215891418629029,4.3750713595325
"LOC114187078",52.5101696965422,2.74754119227938,0.673207617657742,4.08126872039678,4.47905335112422e-05,0.0215891418629029,4.34881376453436
"LOC114169508",21.6732519592304,4.31853358661675,1.04604894566644,4.1284240135297,3.65258103277079e-05,0.0215891418629029,4.43740014043273
"LOC114190631",12.3771003004035,5.04713548472946,1.24728141164658,4.04650902162213,5.1987122027676e-05,0.0224441402573984,4.28410422415317
"LOC114185552",19.401088672336,4.72192177762218,1.17133519709454,4.03123016309487,5.54856739514341e-05,0.0228138596063647,4.25581913448048
"LOC114177237",17.2407052810109,4.54982695540314,1.13908688025391,3.99427562047677,6.4892341492327e-05,0.0249027965606888,4.1878065550314
"LOC114178169",81.3150722954596,1.28637511842711,0.339883781830696,3.7847499268673,0.000153863215132017,0.0462325111658851,3.81286519676825
"LOC114175638",51.9117521412029,2.66301819942234,0.70404140469132,3.78247384554025,0.000155277413146177,0.0462325111658851,3.80889171271564
"LOC114188908",59.2396465123251,2.47629868949236,0.654323447285799,3.78451773318578,0.000154006926830677,0.0462325111658851,3.81245974528895
