Geneid,C-1H-RB1,C-1H-RB2,C-1H-RB3,T-1H-RB1,T-1H-RB2,T-1H-RB3
LOC114164547,168,149,176,136,117,186
LOC114181237,0,0,0,0,0,0
LOC114187231,293,348,255,472,410,454
LOC114174903,1045,1795,1357,1353,1403,1400
LOC114185176,1356,1974,1462,1448,1499,1599
LOC114191509,73,137,92,165,144,160
LOC114193353,427,497,356,646,496,554
LOC114163600,130,109,109,175,162,177
LOC114183160,0,28,20,14,16,20
LOC114181268,227,338,235,387,298,356
LOC114179399,0,0,0,0,0,0
LOC114192272,0,0,0,0,2,0
LOC114177945,0,0,0,0,10,0
LOC114177930,2,0,0,6,34,2
LOC114177937,973,1013,828,1471,1122,1262
LOC114181308,228,187,191,256,304,251
LOC114192868,319,389,333,308,345,376
LOC114173575,358,488,419,444,489,411
LOC114181396,0,0,0,0,0,0
LOC114163244,126,156,117,189,147,150
LOC114163256,182,293,278,293,336,248
LOC114193122,182,197,156,245,193,245
LOC114194366,199,191,143,247,238,314
LOC114183741,86,150,150,151,153,169
LOC114175907,54,66,44,83,39,78
LOC114195859,42,17,32,25,30,14
LOC114192406,138,127,110,160,165,143
LOC114191889,765,1127,890,1238,1073,1114
LOC114192680,311,422,376,429,315,422
LOC114173837,611,540,341,802,467,679
LOC114191802,66,76,57,68,98,98
LOC114191807,173,217,231,189,195,173
LOC114195797,157,175,167,233,201,195
LOC114169535,724,680,698,653,645,761
LOC114163742,88,99,117,175,171,165
LOC114178314,70,122,148,105,198,156
LOC114178322,0,0,0,0,0,0
LOC114185051,573,548,433,405,399,570
LOC114184555,2,0,0,0,0,1
LOC114183376,0,1,1,0,0,1
LOC114183266,18,12,10,28,21,22
LOC114183369,32,43,42,30,22,29
LOC114183292,935,1016,772,950,815,1048
LOC114183352,4236,7821,6174,7076,8714,7116
LOC114183306,294,299,314,378,346,363
LOC114183361,5,13,10,7,11,11
LOC114183228,0,0,0,0,0,2
LOC114174196,106,194,190,168,158,121
LOC114193617,4,2,2,1,0,4
