,C-1H-RB1,C-1H-RB2,C-1H-RB3,T-1H-RB1,T-1H-RB2,T-1H-RB3
LOC114164547,129,102,69,99,94,83
LOC114181237,0,0,0,0,0,0
LOC114187231,235,280,247,343,322,305
LOC114174903,1212,1221,1418,587,1139,811
LOC114185176,1800,1272,1229,681,1050,781
LOC114191509,121,107,103,122,129,133
LOC114193353,523,510,343,242,462,434
LOC114163600,110,81,85,132,91,117
LOC114183160,10,4,4,4,12,4
LOC114181268,205,228,157,257,185,282
LOC114179399,0,0,0,0,0,0
LOC114192272,0,0,0,18,0,6
LOC114177945,0,0,0,2,7,4
LOC114177930,4,4,0,14,17,19
LOC114177937,1024,826,899,1315,1082,1185
LOC114181308,143,152,178,162,167,142
LOC114192868,329,278,344,179,267,200
LOC114173575,439,356,365,355,395,337
LOC114181396,0,0,0,0,0,0
LOC114163244,111,130,98,77,102,98
LOC114163256,257,154,166,169,196,199
LOC114193122,192,204,153,129,138,138
LOC114194366,163,133,132,285,140,284
LOC114183741,159,79,100,50,80,54
LOC114175907,62,38,47,57,45,67
LOC114195859,29,12,4,13,10,18
LOC114192406,111,125,101,136,113,116
LOC114191889,1036,673,703,751,559,867
LOC114192680,395,376,409,302,423,328
LOC114173837,487,473,414,485,495,558
LOC114191802,86,52,77,74,103,76
LOC114191807,199,94,151,144,89,114
LOC114195797,192,142,134,221,160,156
LOC114169535,707,473,471,689,455,844
LOC114163742,106,89,117,198,107,162
LOC114178314,81,98,116,237,106,142
LOC114178322,0,0,0,0,0,0
LOC114185051,615,511,494,390,555,456
LOC114184555,1,1,0,4,11,0
LOC114183376,0,0,0,0,0,0
LOC114183266,5,15,9,16,13,8
LOC114183369,53,37,21,67,41,50
LOC114183292,800,744,861,470,529,463
LOC114183352,8532,9908,12075,6550,9573,7062
LOC114183306,389,300,223,234,268,299
LOC114183361,8,8,3,5,10,5
LOC114183228,4,6,12,7,9,4
LOC114174196,133,89,120,154,86,80
LOC114193617,2,4,5,4,8,3
LOC114193606,13,19,22,30,22,64
LOC114181510,0,0,0,0,0,0
LOC114181520,0,0,0,0,0,0
LOC114175819,8,11,0,27,10,57
LOC114196257,2,0,0,1,0,2
LOC114186121,255,186,297,344,283,360
LOC114184412,302,181,187,218,225,252
LOC114173117,6,2,1,2,13,0
LOC114173197,551,528,518,590,472,770
LOC114193285,532,320,408,745,436,932
LOC114186935,63,31,29,114,79,68
LOC114181529,0,0,0,0,0,0
LOC114186948,40,26,20,51,40,49
LOC114186917,34,34,47,160,38,209
LOC114186953,1279,1279,1434,1082,1219,1240
LOC114182660,258,296,275,177,245,192
LOC114177338,74,73,60,77,101,103
LOC114194671,0,4,0,46,9,15
LOC114179753,438,342,313,348,355,387
LOC114174140,0,7,7,33,4,2
LOC114181606,0,0,0,0,0,0
LOC114174161,0,2,6,2,0,0
LOC114175805,0,10,6,35,9,10
LOC114175796,2,6,13,42,12,3
LOC114162491,2,8,14,23,9,7
LOC114191847,4346,3372,3290,2766,3027,3325
LOC114182418,978,951,799,518,791,732
LOC114162914,36,19,21,81,18,57
LOC114193925,31,12,8,33,20,42
LOC114193931,28,10,5,45,18,62
LOC114186551,363,288,299,139,282,169
LOC114181662,3,7,1,3,4,2
LOC114177567,103,156,143,96,165,112
LOC114179232,32,17,12,18,20,38
LOC114185297,122,139,116,352,205,472
TRNAD-GUC,0,0,0,0,0,0
LOC114179639,21,17,16,492,76,528
LOC114164417,101,134,44,7860,449,5785
LOC114179090,0,0,0,0,0,0
LOC114179081,0,0,0,0,0,0
LOC114164858,0,0,0,0,0,0
LOC114179857,0,2,6,28,12,20
LOC114175348,23,18,12,18,26,18
LOC114163990,32,26,26,28,43,41
LOC114163986,8,6,4,5,4,8
LOC114163396,15,30,24,106,31,163
LOC114177550,8,6,10,12,2,2
LOC114162125,180,169,159,86,156,113
LOC114164341,0,0,0,0,0,0
LOC114178215,4,21,16,33,56,20
LOC114165512,0,0,0,0,0,0
LOC114180063,110,38,20,18,77,165
LOC114183973,333,352,197,224,245,466
LOC114184672,208,160,175,182,167,265
LOC114194731,191,147,120,168,228,218
LOC114178924,280,293,228,437,365,499
LOC114194883,701,443,543,648,579,650
LOC114194008,505,329,326,287,324,306
LOC114194000,69,55,67,22,30,34
LOC114194287,207,187,237,328,179,328
LOC114194280,4,2,8,0,2,5
LOC114178990,39,79,137,252,48,72
LOC114163344,7,37,60,385,81,239
LOC114196174,0,0,0,0,0,0
LOC114181082,84,49,33,323,138,146
LOC114174664,790,627,602,909,722,853
LOC114174687,0,8,4,14,7,8
LOC114174614,47,56,33,42,57,94
LOC114181677,0,0,0,0,0,0
LOC114162605,79,94,63,80,63,54
LOC114163221,729,639,556,774,851,962
LOC114179338,6,0,6,25,17,8
LOC114180345,0,0,0,2,2,10
LOC114162522,4,0,12,7,0,5
LOC114184836,10,22,17,20,34,98
LOC114181846,277,327,358,315,307,369
LOC114181855,12,0,4,5,4,10
LOC114181680,0,0,0,0,0,0
LOC114181750,173,163,175,482,254,546
LOC114162943,151,160,190,117,125,159
LOC114183092,504,436,426,310,301,398
LOC114164498,0,0,0,0,0,0
LOC114185662,76,51,64,297,37,145
LOC114185670,3,2,2,6,4,10
LOC114181725,0,0,0,2,0,0
LOC114180237,0,6,4,10,10,4
LOC114179530,140,164,51,226,138,207
LOC114175493,16,14,4,24,10,16
LOC114163378,24,25,19,15,27,13
LOC114173889,78,53,93,122,73,119
LOC114164757,1827,1228,1323,702,986,993
LOC114193783,195,102,113,91,122,93
LOC114187280,758,628,530,644,568,704
LOC114183900,0,0,0,0,0,0
LOC114181736,34,28,15,20,36,26
LOC114181742,10,4,3,7,8,5
LOC114172510,6,2,0,8,6,7
LOC114172612,0,0,0,0,0,0
LOC114177800,157,104,163,92,164,91
LOC114185571,218,129,155,165,146,186
LOC114174206,203,139,181,139,165,176
LOC114175221,472,502,384,107,216,159
LOC114177992,0,0,0,1,6,6
LOC114163561,0,2,0,2,2,4
LOC114162292,643,747,688,838,898,799
LOC114178370,29,28,19,41,40,28
LOC114179009,50,33,37,34,41,49
LOC114179017,118,91,116,87,113,108
LOC114177299,2,2,2,4,4,72
LOC114194118,5,8,6,10,14,15
LOC114194093,103,88,99,58,105,82
LOC114181815,0,0,2,0,0,0
LOC114194101,0,0,0,0,0,0
LOC114181825,0,0,0,0,0,0
LOC114166223,58,92,91,62,91,53
LOC114181831,5,12,6,40,9,31
LOC114187015,263,179,101,569,256,930
LOC114176176,0,0,6,2,0,0
LOC114168871,127,157,123,152,117,139
LOC114176673,17,18,20,24,32,43
LOC114177793,38,58,36,28,40,56
LOC114162977,0,0,0,0,0,0
LOC114177407,22,12,4,4,18,62
LOC114192227,46,19,23,16,14,97
LOC114180481,273,262,258,284,243,319
LOC114185054,180,131,137,132,113,136
LOC114165270,2,0,4,0,9,0
LOC114195033,77,54,47,57,52,73
LOC114179443,34,4,24,34,4,0
LOC114191789,18,24,22,38,38,23
LOC114191780,3286,2830,3723,2387,3097,2900
LOC114179567,12,6,18,7,21,2
LOC114183053,0,0,0,0,0,0
LOC114181877,0,0,0,0,0,0
LOC114184835,0,0,0,0,0,0
LOC114164396,0,0,0,0,0,0
LOC114165252,0,0,0,0,0,0
LOC114184307,0,0,0,0,0,0
LOC114187349,0,0,0,0,0,0
LOC114165329,0,0,0,0,0,0
LOC114181941,0,0,0,0,0,0
LOC114181970,0,0,0,0,0,0
LOC114171263,0,0,0,0,0,0
LOC114181983,0,0,0,0,0,0
LOC114191971,0,0,0,0,0,0
LOC114195492,0,0,0,0,0,0
LOC114175091,0,0,0,0,0,0
LOC114173789,1658,1038,1067,1201,1315,1572
LOC114181994,0,0,0,0,0,0
